Obs.	statenum	casenum	vnumber	pnumber	city	county	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
18987	45	746	1	6	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	16	0	0	0	0	0	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18988	45	746	1	7	0	83	10262016	26	10	2016	0	35.00240000	-82.01556944	15	0	0	0	0	0	14	0	1	7	403	2010	0	0	1	21	0	0	0	96	
18989	45	748	1	1	0	31	10282016	28	10	2016	0	34.13828056	-79.98531111	29	8	0	0	0	3	4	0	0	12	37	2011	0	0	1	0	0	0	0	96	
18990	45	750	1	1	0	83	10012016	1	10	2016	0	34.96981111	-81.90911111	16	1	0	0	0	3	31	0	0	12	481	2009	0	0	1	0	0	0	0	96	
18991	45	750	2	1	0	83	10012016	1	10	2016	0	34.96981111	-81.90911111	75	8	0	0	0	3	20	0	1	63	441	2014	0	0	1	48	0	0	0	96	
18992	45	750	2	2	0	83	10012016	1	10	2016	0	34.96981111	-81.90911111	73	8	0	0	0	3	20	0	1	63	441	2014	0	0	1	48	0	0	0	96	
18993	45	757	1	1	0	31	10302016	30	10	2016	0	34.44163056	-79.85663889	41	20	0	0	0	7	4	0	1	20	2	2013	0	0	1	28	0	0	0	96	
18994	45	759	1	1	0	43	10302016	30	10	2016	0	33.59830000	-79.33251111	39	1	0	0	0	7	4	0	1	19	22	2008	0	0	1	0	0	0	0	96	
18995	45	762	1	1	2530	35	10202016	20	10	2016	0	32.96393056	-80.16608056	51	1	0	0	0	3	14	0	0	54	402	2008	0	0	1	0	0	0	0	96	
18996	45	764	1	1	0	91	11012016	1	11	2016	0	34.86356944	-81.12978056	17	1	0	0	0	3	4	0	1	13	13	2008	0	0	1	28	0	0	0	96	
18997	45	768	1	1	0	91	11032016	3	11	2016	0	34.92006111	-80.91758056	60	20	0	0	0	3	31	0	0	20	481	2011	0	0	1	0	0	0	0	96	
18998	45	768	1	2	0	91	11032016	3	11	2016	0	34.92006111	-80.91758056	57	20	0	0	0	3	31	0	0	20	481	2011	0	0	1	0	0	0	0	96	
18999	45	769	1	1	0	89	11042016	4	11	2016	0	33.50867778	-79.63078889	42	8	0	0	0	3	4	0	1	20	25	2011	0	0	1	28	0	0	0	96	
19000	45	770	1	1	0	37	11042016	4	11	2016	0	33.95261111	-81.96773056	83	8	0	0	0	3	4	0	1	14	6	2009	0	0	1	28	0	0	0	96	
19001	45	771	1	1	1870	75	11042016	4	11	2016	0	33.47555556	-80.85255278	20	8	0	0	0	3	4	0	0	35	43	2015	0	0	1	0	0	0	0	96	
19002	45	771	1	2	1870	75	11042016	4	11	2016	0	33.47555556	-80.85255278	20	8	0	0	0	3	4	0	0	35	43	2015	0	0	1	0	0	0	0	96	
19003	45	771	1	3	1870	75	11042016	4	11	2016	0	33.47555556	-80.85255278	31	8	0	0	0	3	4	0	0	35	43	2015	0	0	1	0	0	0	0	96	
19004	45	771	1	4	1870	75	11042016	4	11	2016	0	33.47555556	-80.85255278	0	0	0	0	0	4	4	0	0	35	43	2015	0	0	1	0	0	0	0	96	
