statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,123,1,1,0,89,3/15/16,15,3,2016,0,34.91614722,-86.71379167,41,1,0,0,0,7,4,0,1,30,40,2010,0,0,1,89,0,0,0,99
1,126,1,1,930,69,3/19/16,19,3,2016,0,31.19710833,-85.41261944,19,8,0,0,0,3,5,0,1,49,46,2008,0,0,1,0,0,0,0,0
1,126,1,2,930,69,3/19/16,19,3,2016,0,31.19710833,-85.41261944,19,8,0,0,0,3,5,0,1,49,46,2008,0,0,1,0,0,0,0,0
1,130,1,1,350,73,3/29/16,29,3,2016,0,33.58908056,-86.86281667,32,8,0,0,0,3,14,0,0,59,403,2008,0,0,1,0,0,0,0,6
1,132,1,1,0,53,3/31/16,31,3,2016,0,31.13154722,-87.43416944,35,1,0,0,0,3,31,0,1,20,481,2008,0,0,1,0,0,0,0,99
1,139,1,1,0,73,3/19/16,19,3,2016,0,33.74836389,-86.92605833,35,9,0,0,0,7,15,0,1,20,421,2010,0,0,1,58,0,0,0,0
1,144,2,1,0,9,3/11/16,11,3,2016,0,34.07180833,-86.566125,47,3,0,0,0,3,4,0,0,14,21,2010,0,0,1,0,0,0,0,0
1,148,2,1,350,73,3/17/16,17,3,2016,0,33.52534444,-86.72234722,29,1,0,0,0,7,14,0,0,23,402,2012,0,0,1,0,0,0,0,0
1,152,1,1,0,43,3/22/16,22,3,2016,0,34.19233333,-86.786175,72,1,0,0,0,3,4,0,1,49,32,2010,0,0,1,0,0,0,0,0
1,155,2,1,0,71,3/24/16,24,3,2016,0,34.63155278,-85.89304722,19,8,0,0,0,3,4,0,1,63,34,2011,0,0,1,0,0,0,0,0
1,155,2,2,0,71,3/24/16,24,3,2016,0,34.63155278,-85.89304722,20,8,5,0,0,7,4,0,1,63,34,2011,0,0,1,0,0,0,0,0
1,160,1,1,1500,95,3/29/16,29,3,2016,0,34.39229167,-86.20121389,23,1,0,0,0,3,3,0,1,30,47,2012,0,0,1,28,0,0,0,0
1,164,1,1,0,51,3/30/16,30,3,2016,0,32.50697222,-86.12878056,20,1,0,0,0,3,4,0,2,14,6,2008,0,0,1,38,0,0,0,99
1,164,1,2,0,51,3/30/16,30,3,2016,0,32.50697222,-86.12878056,22,1,0,0,0,3,4,0,2,14,6,2008,0,0,1,38,0,0,0,99
1,170,1,1,0,49,4/3/16,3,4,2016,0,34.52758333,-85.69963611,23,3,0,0,0,7,4,0,1,12,37,2014,0,0,1,0,0,0,0,99
1,171,1,1,0,103,4/14/16,14,4,2016,0,34.56616944,-86.91098611,24,1,0,0,0,3,6,0,0,63,37,2014,0,0,1,26,0,0,0,0
1,184,1,1,1030,31,4/3/16,3,4,2016,0,31.34691944,-85.87298611,70,20,0,0,0,3,6,0,0,49,49,2009,0,0,1,0,0,0,0,0
