"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","makename","cellphoneuse"
"1123",32,12,2,1,21,21,0,1,1,2016,"01/2016",2011,12,"Ford",0
"1124",45,12,2,1,31,31,0,10,1,2016,"01/2016",2008,12,"Ford",0
"1125",56,12,1,1,22,22,0,17,1,2016,"01/2016",2014,12,"Ford",0
"1126",88,12,1,1,51,51,1,1,2,2016,"02/2016",2011,12,"Ford",0
"1127",145,12,1,1,23,23,0,28,2,2016,"02/2016",2013,12,"Ford",0
"1128",179,12,2,1,64,64,0,20,2,2016,"02/2016",2016,12,"Ford",0
"1129",183,12,1,1,21,21,1,15,2,2016,"02/2016",2008,12,"Ford",0
"1130",295,12,1,1,81,81,1,7,1,2016,"01/2016",2010,12,"Ford",0
"1131",307,12,2,1,65,65,0,19,3,2016,"03/2016",2010,12,"Ford",0
"1132",318,12,1,1,60,60,1,29,2,2016,"02/2016",2014,12,"Ford",0
"1133",328,12,1,1,23,23,1,17,3,2016,"03/2016",2011,12,"Ford",0
"1134",355,12,3,1,38,38,0,21,2,2016,"02/2016",2015,12,"Ford",0
"1135",374,12,2,1,35,35,0,28,3,2016,"03/2016",2016,12,"Ford",0
"1136",397,12,1,1,49,49,0,23,3,2016,"03/2016",2008,12,"Ford",0
"1137",419,12,1,1,42,42,0,7,1,2016,"01/2016",2011,12,"Ford",0
"1138",496,12,1,1,31,31,0,17,2,2016,"02/2016",2011,12,"Ford",0
"1139",536,12,1,1,61,61,0,5,1,2016,"01/2016",2008,12,"Ford",0
"1140",581,12,1,1,20,20,0,3,3,2016,"03/2016",2008,12,"Ford",0
"1141",644,12,1,1,35,35,0,5,4,2016,"04/2016",2011,12,"Ford",0
"1142",687,12,1,1,20,20,1,13,4,2016,"04/2016",2010,12,"Ford",0
"1143",748,12,1,1,62,62,0,17,3,2016,"03/2016",2014,12,"Ford",0
"1144",789,12,1,1,43,43,0,21,4,2016,"04/2016",2016,12,"Ford",0
"1145",826,12,1,1,60,60,1,27,4,2016,"04/2016",2011,12,"Ford",0
"1146",838,12,1,1,33,33,0,12,4,2016,"04/2016",2016,12,"Ford",0
"1147",848,12,1,1,29,29,0,25,4,2016,"04/2016",2016,12,"Ford",0
"1148",873,12,1,1,54,54,0,30,4,2016,"04/2016",2012,12,"Ford",0
"1149",1091,12,2,1,55,55,0,24,5,2016,"05/2016",2011,12,"Ford",0
"1150",1177,12,1,1,30,30,0,21,5,2016,"05/2016",2014,12,"Ford",0
"1151",1189,12,1,1,52,52,0,8,6,2016,"06/2016",2013,12,"Ford",0
"1152",1207,12,2,1,17,17,1,9,6,2016,"06/2016",2012,12,"Ford",0
"1153",1230,12,1,1,71,71,1,28,3,2016,"03/2016",2008,12,"Ford",0
"1154",1239,12,1,1,23,23,0,30,5,2016,"05/2016",2016,12,"Ford",0
"1155",1253,12,1,1,55,55,0,14,6,2016,"06/2016",2008,12,"Ford",0
"1156",1290,12,1,1,25,25,1,23,6,2016,"06/2016",2008,12,"Ford",0
"1157",1351,12,2,1,42,42,0,29,6,2016,"06/2016",2013,12,"Ford",0
"1158",1364,12,1,1,70,70,0,11,6,2016,"06/2016",2008,12,"Ford",0
"1159",1373,12,2,1,22,22,0,28,6,2016,"06/2016",2014,12,"Ford",0
"1160",1427,12,3,1,51,51,0,14,5,2016,"05/2016",2008,12,"Ford",0
"1161",1468,12,1,1,33,33,1,13,7,2016,"07/2016",2015,12,"Ford",0
"1162",1500,12,1,1,19,19,0,9,7,2016,"07/2016",2015,12,"Ford",0
"1163",1512,12,1,1,57,57,1,29,3,2016,"03/2016",2011,12,"Ford",0
"1164",1549,12,1,1,48,48,0,22,7,2016,"07/2016",2012,12,"Ford",0
"1165",1554,12,1,1,61,61,1,15,7,2016,"07/2016",2008,12,"Ford",0
"1166",1557,12,4,1,62,62,0,24,7,2016,"07/2016",2016,12,"Ford",0
"1167",1716,12,1,1,25,25,0,16,8,2016,"08/2016",2015,12,"Ford",0
"1168",1759,12,1,1,43,43,0,22,8,2016,"08/2016",2014,12,"Ford",0
"1169",1781,12,1,1,70,70,0,20,8,2016,"08/2016",2014,12,"Ford",0
"1170",1811,12,1,1,49,49,0,24,8,2016,"08/2016",2008,12,"Ford",0
"1171",1941,12,2,1,30,30,0,13,9,2016,"09/2016",2014,12,"Ford",0
"1172",1975,12,1,1,55,55,0,27,8,2016,"08/2016",2012,12,"Ford",0
"1173",1986,12,2,1,31,31,0,19,9,2016,"09/2016",2014,12,"Ford",0
"1174",2022,12,1,1,26,26,0,19,9,2016,"09/2016",2014,12,"Ford",0
"1175",2033,12,1,1,32,32,1,13,9,2016,"09/2016",2015,12,"Ford",0
"1176",2050,12,2,1,56,56,0,1,6,2016,"06/2016",2016,12,"Ford",0
"1177",2058,12,1,1,62,62,0,19,9,2016,"09/2016",2010,12,"Ford",0
"1178",2060,12,1,1,33,33,0,4,9,2016,"09/2016",2008,12,"Ford",0
"1179",2079,12,2,1,60,60,0,18,9,2016,"09/2016",2012,12,"Ford",0
"1180",2107,12,2,1,59,59,0,18,9,2016,"09/2016",2014,12,"Ford",0
"1181",2177,12,2,1,21,21,0,4,10,2016,"10/2016",2013,12,"Ford",0
"1182",2191,12,2,1,38,38,0,6,10,2016,"10/2016",2010,12,"Ford",0
"1183",2238,12,1,1,19,19,1,22,9,2016,"09/2016",2013,12,"Ford",0
"1184",2263,12,2,1,28,28,0,20,10,2016,"10/2016",2016,12,"Ford",0
"1185",2317,12,2,1,78,78,1,1,11,2016,"11/2016",2012,12,"Ford",0
"1186",2336,12,1,1,42,42,1,2,11,2016,"11/2016",2013,12,"Ford",0
"1187",2339,12,1,1,46,46,1,31,10,2016,"10/2016",2014,12,"Ford",0
"1188",2434,12,2,1,35,35,1,8,11,2016,"11/2016",2011,12,"Ford",0
"1189",2484,12,1,1,66,66,0,14,11,2016,"11/2016",2010,12,"Ford",0
"1190",2489,12,1,1,24,24,0,6,11,2016,"11/2016",2008,12,"Ford",0
"1191",2529,12,1,1,47,47,1,28,11,2016,"11/2016",2016,12,"Ford",0
"1192",2545,12,2,1,49,49,0,16,11,2016,"11/2016",2012,12,"Ford",0
"1193",2553,12,1,1,71,71,1,26,10,2016,"10/2016",2009,12,"Ford",0
"1194",2611,12,1,1,51,51,1,28,11,2016,"11/2016",2012,12,"Ford",0
"1195",2624,12,1,1,66,66,0,7,12,2016,"12/2016",2008,12,"Ford",0
"1196",2690,12,1,1,26,26,1,14,11,2016,"11/2016",2014,12,"Ford",0
"1197",2694,12,1,1,74,74,1,13,12,2016,"12/2016",2013,12,"Ford",0
"1198",2696,12,1,1,53,53,0,3,12,2016,"12/2016",2014,12,"Ford",0
"1199",2713,12,1,1,65,65,0,31,8,2016,"08/2016",2016,12,"Ford",0
"1200",2735,12,1,1,61,61,0,9,12,2016,"12/2016",2012,12,"Ford",0
"1201",2742,12,1,1,NA,NA,0,29,10,2016,"10/2016",2010,12,"Ford",0
"1202",2752,12,1,1,40,40,0,23,12,2016,"12/2016",2011,12,"Ford",0
"1203",2781,12,2,1,69,69,0,22,12,2016,"12/2016",2010,12,"Ford",0
"1204",2813,12,2,1,61,61,0,20,12,2016,"12/2016",2012,12,"Ford",0
"1205",2852,12,1,1,22,22,0,7,10,2016,"10/2016",2012,12,"Ford",0
"1206",2857,12,3,1,66,66,0,29,12,2016,"12/2016",2016,12,"Ford",0
"1207",2886,12,1,1,30,30,0,19,9,2016,"09/2016",2015,12,"Ford",0
"1208",2982,12,1,1,35,35,0,16,12,2016,"12/2016",2015,12,"Ford",0
"1209",3016,12,2,1,25,25,0,7,11,2016,"11/2016",2011,12,"Ford",0
"1210",9,13,1,1,36,36,1,2,1,2016,"01/2016",2010,12,"Ford",0
"1211",55,13,1,1,37,37,1,18,1,2016,"01/2016",2010,12,"Ford",0
"1212",93,13,1,1,74,74,0,31,1,2016,"01/2016",2009,12,"Ford",0
"1213",142,13,2,1,42,42,0,17,2,2016,"02/2016",2008,12,"Ford",0
"1214",149,13,2,1,67,67,0,19,2,2016,"02/2016",2015,12,"Ford",0
"1215",167,13,1,1,58,58,0,22,2,2016,"02/2016",2009,12,"Ford",0
"1216",212,13,3,1,50,50,0,3,3,2016,"03/2016",2011,12,"Ford",0
"1217",231,13,1,1,83,83,1,7,3,2016,"03/2016",2011,12,"Ford",0
"1218",376,13,1,1,47,47,1,15,4,2016,"04/2016",2014,12,"Ford",0
"1219",393,13,1,1,30,30,1,19,4,2016,"04/2016",2016,12,"Ford",0
"1220",397,13,1,1,20,20,0,20,4,2016,"04/2016",2008,12,"Ford",0
"1221",441,13,2,1,46,46,0,3,5,2016,"05/2016",2014,12,"Ford",0
"1222",452,13,1,1,64,64,0,6,5,2016,"05/2016",2011,12,"Ford",0
"1223",457,13,1,1,28,28,0,7,5,2016,"05/2016",2008,12,"Ford",0
"1224",472,13,1,1,53,53,0,10,5,2016,"05/2016",2008,12,"Ford",0
